Sample_id	depth	Tie points Age ( Ma)	Interpolated_Age	Clusters	Precession	Eccentricity	Obliquity	Insolation	R.minuta	R.haqii	R.zancleana 	R.pseudoumbiilicus 	C.pelagicus	H.carteri	S.abies	C.leptoporus	Discoaster.spp.	U.rotula	U.jafari	R.clavigera	P.japonica	P.discopora	P.multipora	S.pulchra	Globigerinoidesspp.	G.scitula	Globigerina.spp.	Globigerinita.spp.	Globigerinella.spp.	Negloboquadrina.Dx	Negloboquadrina.Sx	Globoturborotalita.spp. 	T.quinqueloba 	O.universa	Sphaeroidinellopsis.spp	WO	CO	WO/CE
MP.4b 	540		-5.30875	2	0.000008	0.022093	0.401809	176.15869	27.4	9.6	0	13.4	2.8	5.4	11.8	3.8	0.2	5.4	8.2	1.6	0.6	0	0.6	9	4.09	0	17.54	7.6	0.58	0.88	23.39	40.35	3.8	1.75	0	14.26	44.44	0.320882088
MP.4a 	530		-5.310625	2	-0.007487	0.017955	0.423516	190.206512	25.2	12.8	0.4	17.8	2.8	6.2	8.2	3	0	2.2	13.2	1	0.8	0.2	0.4	5.6	2.53	0	21.72	12.63	1.01	0.51	7.58	34.34	3.03	16.67	0	10.15	36.87	0.275291565
MP.3c 	500		-5.31625	2	-0.014564	0.015172	0.417557	182.551397	24	16.8	0.2	12	3	11.8	12.4	2.8	0	3.2	9.6	0.6	0.2	0	0	3.2	3.48	0.22	6.74	7.39	0	9.78	13.91	54.35	1.96	2.17	0	14.94	58.05	0.257364341
MP.3b 	490		-5.318125	2	0.004309	0.011082	0.402	180.333978																	0.65	0.43	6.74	7.61	1.3	25.65	4.35	46.3	4.35	2.61	0	31.3	47.38	0.660616294
MP.3 	480	-5.32	-5.32	2	0.007331	0.007426	0.391145	184.484071	13.2	11.6	0.8	20.4	3	15	6.6	5	0.8	2.6	13.6	1.4	0.8	0.2	0.2	4.8	3.13	0.45	17.86	6.25	0	13.84	0.89	50	1.79	5.8	0	20.43	53.58	0.381298992
MP.2d 	460		-5.322666667	2	-0.005618	0.013201	0.410229	179.720469	21.6	5.4	1.4	16.6	1	21.4	4.8	6.4	0	2	13.8	0.6	1.2	0.2	0	3.4	7.8	0.49	19.02	3.41	0	21.95	4.39	29.76	4.39	8.78	0	29.74	38.05	0.781603154
MP.2c 	450		-5.324	2	-0.009443	0.009503	0.410894	184.45514	17.4	3.8	1.6	16.2	1.2	14.2	5.8	8	0	6	16.8	1.8	1.4	0.6	0.2	5	8.93	0.69	13.06	5.84	1.03	4.12	17.87	38.49	5.15	4.81	0	15.3	48.11	0.318021201
MP.2b 	440		-5.325333333	1	-0.001816	0.014802	0.41812	178.739391	9.4	4.6	5	17.4	2.4	16.6	5	8	1.4	5	17.4	3.8	0.6	0.6	0	2.4	23.23	0	11.61	0	3.23	2.58	0.65	42.58	12.26	3.87	0	20.47	65.81	0.311046953
FFS.10	400		-5.330666667	1	0.01123	0.017566	0.418483	179.200618	8.4	7	4.6	25	1.8	11	7	6.6	0.2	4.2	12.8	4.4	0	1.2	0.4	4.6	8.37	0	12.9	3.62	0	16.52	0.45	38.91	1.13	18.1	0	22.25	47.28	0.470600677
MP.1b	390	-5.332	-5.332	1	0.016308	0.023306	0.413312	190.41398	3.4	3.6	8.8	16.2	4.2	12	7	11	0.4	6.8	19.4	1.6	0.6	0	1.2	2.6	6.64	0	11.81	6.27	0	9.96	1.85	44.28	1.11	16.61	0	13.67	50.92	0.26846033
