depth	Age.tie	Age.Ma	eccentricity	Precession	Obliquity	insolation
		-5311	0.023472	-0.022932	0.406372	182.390901
		-5312	0.023959	-0.023847	0.407459	185.094228
		-5313	0.024386	-0.022402	0.408527	187.815383
		-5314	0.02479	-0.018692	0.409553	190.30452
		-5315	0.025212	-0.013181	0.410516	192.267712
		-5316	0.025626	-0.006194	0.411389	193.54844
		-5317	0.025991	0.001577	0.412153	193.962699
		-5318	0.026366	0.009295	0.412783	193.490315
		-5319	0.026698	0.016428	0.413259	192.129319
480	-5320	-5320	0.027063	0.022197	0.413559	190.048822
		-5321	0.027336	0.026033	0.413667	187.389882
		-5322	0.027625	0.027623	0.413569	184.433245
		-5323	0.027931	0.02681	0.413257	181.439352
		-5324	0.028126	0.023489	0.41273	178.660872
		-5325	0.028374	0.018113	0.41199	176.361327
		-5326	0.028565	0.011066	0.411051	174.748169
		-5327	0.02875	0.00282	0.409926	173.935722
		-5328	0.028876	-0.005624	0.408639	174.041675
		-5329	0.029021	-0.013735	0.407218	175.033798
		-5330	0.029145	-0.020738	0.405695	176.868758
		-5331	0.029217	-0.02588	0.404106	179.377275
390	-5332	-5332	0.029259	-0.02877	0.402489	182.383905
